,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
43,Bogotá,Bogota,4.6126,-74.0705,Colombia,CO,COL,Bogotá,primary,9464000.0,1170483426
312,Medellín,Medellin,6.2447,-75.5748,Colombia,CO,COL,Antioquia,admin,2529403.0,1170680389
321,Cali,Cali,3.44,-76.5197,Colombia,CO,COL,Valle del Cauca,admin,2471474.0,1170417589
565,Barranquilla,Barranquilla,10.9639,-74.7964,Colombia,CO,COL,Atlántico,admin,1274250.0,1170179113
689,Cartagena,Cartagena,10.4236,-75.5253,Colombia,CO,COL,Bolívar,admin,1036412.0,1170886102
875,Soacha,Soacha,4.5781,-74.2144,Colombia,CO,COL,Cundinamarca,minor,995268.0,1170512000
1012,Palermo,Palermo,2.8883,-75.4339,Colombia,CO,COL,Huila,minor,800000.0,1170614290
1051,Cúcuta,Cucuta,7.9075,-72.5047,Colombia,CO,COL,Norte de Santander,admin,750000.0,1170743755
1094,Soledad,Soledad,10.92,-74.77,Colombia,CO,COL,Atlántico,minor,698852.0,1170765625
1264,Pereira,Pereira,4.8143,-75.6946,Colombia,CO,COL,Risaralda,admin,590554.0,1170386718
1275,Bucaramanga,Bucaramanga,7.1186,-73.1161,Colombia,CO,COL,Santander,admin,581130.0,1170940590
1333,Valledupar,Valledupar,10.4603,-73.2597,Colombia,CO,COL,Cesar,admin,544134.0,1170481949
1341,Ibagué,Ibague,4.4378,-75.2006,Colombia,CO,COL,Tolima,admin,541101.0,1170245063
1360,Villavicencio,Villavicencio,4.1425,-73.6294,Colombia,CO,COL,Meta,admin,527668.0,1170426927
1386,Santa Marta,Santa Marta,11.2361,-74.2017,Colombia,CO,COL,Magdalena,admin,515556.0,1170715594
1408,Montería,Monteria,8.76,-75.8856,Colombia,CO,COL,Córdoba,admin,505334.0,1170855299
1575,Manizales,Manizales,5.0661,-75.4847,Colombia,CO,COL,Caldas,admin,434403.0,1170930654
1602,Buenaventura,Buenaventura,3.8772,-77.0267,Colombia,CO,COL,Valle del Cauca,minor,423927.0,1170287988
1725,Pasto,Pasto,1.2136,-77.2811,Colombia,CO,COL,Nariño,admin,382236.0,1170320545
1753,Bello,Bello,6.3319,-75.5581,Colombia,CO,COL,Antioquia,minor,371591.0,1170423489
1819,Neiva,Neiva,2.9275,-75.2875,Colombia,CO,COL,Huila,admin,353033.0,1170159963
2056,Armenia,Armenia,4.5389,-75.6725,Colombia,CO,COL,Quindío,admin,301226.0,1170398459
2069,Popayán,Popayan,2.4411,-76.6061,Colombia,CO,COL,Cauca,admin,300837.0,1170764265
2137,Sincelejo,Sincelejo,9.2994,-75.3958,Colombia,CO,COL,Sucre,admin,286716.0,1170364198
2247,Floridablanca,Floridablanca,7.0697,-73.0978,Colombia,CO,COL,Santander,minor,267170.0,1170331200
2420,Itagüí,Itagui,6.1726,-75.6096,Colombia,CO,COL,Antioquia,minor,235016.0,1170708072
2539,Envigado,Envigado,6.1719,-75.5803,Colombia,CO,COL,Antioquia,minor,228848.0,1170785909
2640,Tuluá,Tulua,4.0847,-76.1986,Colombia,CO,COL,Valle del Cauca,minor,219138.0,1170721938
2702,Tumaco,Tumaco,1.8067,-78.7647,Colombia,CO,COL,Nariño,minor,212692.0,1170504978
2714,Tunja,Tunja,5.5403,-73.3614,Colombia,CO,COL,Boyacá,admin,209263.0,1170843027
2715,Barrancabermeja,Barrancabermeja,7.0675,-73.8472,Colombia,CO,COL,Santander,minor,210729.0,1170362340
2864,Zipaquirá,Zipaquira,5.0247,-74.0014,Colombia,CO,COL,Cundinamarca,minor,196409.0,1170798590
3037,Dosquebradas,Dosquebradas,4.8361,-75.6761,Colombia,CO,COL,Risaralda,minor,179301.0,1170184135
3051,Turbo,Turbo,8.0931,-76.7283,Colombia,CO,COL,Antioquia,minor,181000.0,1170426476
3076,Yopal,Yopal,5.3306,-72.3906,Colombia,CO,COL,Casanare,admin,179355.0,1170295059
3242,Ríohacha,Riohacha,11.5442,-72.9069,Colombia,CO,COL,La Guajira,admin,167865.0,1170903069
3349,Girón,Giron,7.0731,-73.1681,Colombia,CO,COL,Santander,minor,160403.0,1170575968
3666,Florencia,Florencia,1.6142,-75.6117,Colombia,CO,COL,Caquetá,admin,143871.0,1170606634
3750,Fusagasugá,Fusagasuga,4.3372,-74.3644,Colombia,CO,COL,Cundinamarca,minor,139805.0,1170322047
3853,Cartago,Cartago,4.75,-75.91,Colombia,CO,COL,Valle del Cauca,minor,134827.0,1170225267
3904,Pitalito,Pitalito,1.8539,-76.0514,Colombia,CO,COL,Huila,minor,133205.0,1170820158
3930,Sogamoso,Sogamoso,5.7158,-72.9333,Colombia,CO,COL,Boyacá,minor,131105.0,1170000109
3943,Ciénaga,Cienaga,11.0104,-74.25,Colombia,CO,COL,Magdalena,minor,131171.0,1170825751
3954,Quibdó,Quibdo,5.6923,-76.6582,Colombia,CO,COL,Chocó,admin,130825.0,1170186734
3955,Girardot,Girardot,4.3036,-74.8039,Colombia,CO,COL,Cundinamarca,minor,129834.0,1170838212
4055,Duitama,Duitama,5.8219,-73.0297,Colombia,CO,COL,Boyacá,minor,126670.0,1170695532
4142,Magangué,Magangue,9.2467,-74.7594,Colombia,CO,COL,Bolívar,minor,123906.0,1170903510
4143,Maicao,Maicao,11.3778,-72.2414,Colombia,CO,COL,La Guajira,minor,123757.0,1170370871
4317,Facatativá,Facatativa,4.8147,-74.3553,Colombia,CO,COL,Cundinamarca,minor,117133.0,1170830205
4327,Uribia,Uribia,11.7139,-72.2658,Colombia,CO,COL,La Guajira,minor,117674.0,1170046204
4328,Piedecuesta,Piedecuesta,6.9886,-73.0503,Colombia,CO,COL,Santander,minor,117364.0,1170759043
4351,Guadalajara de Buga,Guadalajara de Buga,3.9036,-76.2986,Colombia,CO,COL,Valle del Cauca,minor,116893.0,1170472765
4465,Madrid,Madrid,4.7306,-74.2639,Colombia,CO,COL,Cundinamarca,minor,112254.0,1170693388
4567,Santander de Quilichao,Santander de Quilichao,3.0083,-76.4839,Colombia,CO,COL,Cauca,minor,110535.0,1170277699
4600,Aguachica,Aguachica,8.3067,-73.6153,Colombia,CO,COL,Cesar,minor,109621.0,1170152591
4622,Ipiales,Ipiales,0.8289,-77.6406,Colombia,CO,COL,Nariño,minor,109116.0,1170309931
4991,Arauca,Arauca,7.0903,-70.7617,Colombia,CO,COL,Arauca,admin,96814.0,1170322340
5354,San Andrés,San Andres,12.5847,-81.7006,Colombia,CO,COL,San Andrés y Providencia,admin,71946.0,1170563968
5479,San José del Guaviare,San Jose del Guaviare,2.5653,-72.6386,Colombia,CO,COL,Guaviare,admin,68878.0,1170839384
5764,Sabaneta,Sabaneta,6.1508,-75.615,Colombia,CO,COL,Antioquia,minor,54573.0,1170000611
6761,Leticia,Leticia,-4.215,-69.9411,Colombia,CO,COL,Amazonas,admin,32450.0,1170548641
7020,Mitú,Mitu,1.2503,-70.235,Colombia,CO,COL,Vaupés,admin,28382.0,1170846096
7476,Mocoa,Mocoa,1.1492,-76.6464,Colombia,CO,COL,Putumayo,admin,22035.0,1170970726
7669,Inírida,Inirida,3.8708,-67.9211,Colombia,CO,COL,Guainía,admin,19816.0,1170563591
7980,Puerto Carreño,Puerto Carreno,6.1889,-67.4858,Colombia,CO,COL,Vichada,admin,16763.0,1170291142
10332,Chía,Chia,4.8633,-74.0528,Colombia,CO,COL,Cundinamarca,minor,97896.0,1170046785
10363,Jamundí,Jamundi,3.2608,-76.5394,Colombia,CO,COL,Valle del Cauca,minor,96993.0,1170503987
10500,Yumbo,Yumbo,3.5778,-76.4944,Colombia,CO,COL,Valle del Cauca,minor,92192.0,1170917722
10508,Mosquera,Mosquera,4.7078,-74.2328,Colombia,CO,COL,Cundinamarca,minor,91282.0,1170751552
10548,Fundación,Fundacion,10.5172,-74.1922,Colombia,CO,COL,Magdalena,minor,90514.0,1170906059
10564,Ocaña,Ocana,8.2461,-73.3553,Colombia,CO,COL,Norte de Santander,minor,90037.0,1170754105
10601,Montelíbano,Montelibano,7.9711,-75.4181,Colombia,CO,COL,Córdoba,minor,88674.0,1170283887
10703,Chiquinquirá,Chiquinquira,5.6175,-73.8164,Colombia,CO,COL,Boyacá,minor,85274.0,1170668478
10745,Sabanalarga,Sabanalarga,10.63,-74.9236,Colombia,CO,COL,Atlántico,minor,84410.0,1170724527
10754,Chigorodó,Chigorodo,7.6697,-76.6814,Colombia,CO,COL,Antioquia,minor,84183.0,1170787746
10756,Cereté,Cerete,8.8867,-75.7911,Colombia,CO,COL,Córdoba,minor,83917.0,1170926689
10828,Funza,Funza,4.7175,-74.2094,Colombia,CO,COL,Cundinamarca,minor,80937.0,1170562658
10832,Caldas,Caldas,6.0886,-75.6361,Colombia,CO,COL,Antioquia,minor,81381.0,1170279867
10874,Los Patios,Los Patios,7.8342,-72.505,Colombia,CO,COL,Norte de Santander,minor,80235.0,1170225535
10970,El Carmen de Bolívar,El Carmen de Bolivar,9.7167,-75.1167,Colombia,CO,COL,Bolívar,minor,78729.0,1170394868
10971,Tierralta,Tierralta,8.1728,-76.0594,Colombia,CO,COL,Córdoba,minor,78770.0,1170909785
10976,La Dorada,La Dorada,5.4538,-74.6647,Colombia,CO,COL,Caldas,minor,78540.0,1170734727
10992,Arjona,Arjona,10.255,-75.3447,Colombia,CO,COL,Bolívar,minor,78070.0,1170602407
11058,Turbaco,Turbaco,10.3319,-75.4142,Colombia,CO,COL,Bolívar,minor,76218.0,1170194197
11082,Espinal,Espinal,4.1486,-74.8819,Colombia,CO,COL,Tolima,minor,75828.0,1170084447
11125,Acacías,Acacias,3.9889,-73.7647,Colombia,CO,COL,Meta,minor,75252.0,1170420071
11160,Copacabana,Copacabana,6.3486,-75.5103,Colombia,CO,COL,Antioquia,minor,73574.0,1170002661
11243,Santa Rosa de Cabal,Santa Rosa de Cabal,4.8672,-75.6211,Colombia,CO,COL,Risaralda,minor,73028.0,1170419801
11253,San Vicente del Caguán,San Vicente del Caguan,2.1153,-74.77,Colombia,CO,COL,Caquetá,minor,72949.0,1170922792
11331,Corozal,Corozal,9.3169,-75.2933,Colombia,CO,COL,Sucre,minor,70853.0,1170958484
11372,Villa del Rosario,Villa del Rosario,7.8353,-72.4736,Colombia,CO,COL,Norte de Santander,minor,69833.0,1170700232
11392,Garzón,Garzon,2.1961,-75.6292,Colombia,CO,COL,Huila,minor,69823.0,1170149755
11423,Planeta Rica,Planeta Rica,8.4089,-75.5819,Colombia,CO,COL,Córdoba,minor,69285.0,1170924519
11435,Necoclí,Necocli,8.4258,-76.7839,Colombia,CO,COL,Antioquia,minor,69090.0,1170745269
11516,Manaure,Manaure,11.775,-72.4444,Colombia,CO,COL,La Guajira,minor,67584.0,1170534927
11655,Marinilla,Marinilla,6.1744,-75.3389,Colombia,CO,COL,Antioquia,minor,64645.0,1170499821
11704,Ciénaga de Oro,Cienaga de Oro,8.875,-75.6211,Colombia,CO,COL,Córdoba,minor,64226.0,1170711004
